Tribunal matters by year
A blank cell means no matters are held for that forum in that year.
Year,CAT CIS,CAT,CESTAT,ITAT,DRT,NCLT,NGT,SAT,ATFP,CCI,APTEL,GST AAR,IBBI,RERA,TDSAT,All forums
1985,,6,,,,,,,,,,,,,,6
1986,,951,,,,,,,,,,,,,,951
1987,,1500,,,,,,,,,,,,,,1500
1988,,1663,,,,,,,,,,,,,,1663
1989,,2156,,,,,,,,,,,,,,2156
1990,,2588,,,,,,,,,,,,,,2588
1991,,2752,,,,,,,,,,,,,,2752
1992,,5035,,,,,,,,,,,,,,5035
1993,,5745,,,,,,,,,,,,,,5745
1994,,5444,,,,,,,,,,,,,,5444
1995,,4691,,,,,,,,,,,,,,4691
1996,,4919,,,,1,,,,,,,,,,4920
1997,,5043,,,,,,,,,,,,,,5043
1998,,4854,,,,,,,,,,,,,,4854
1999,,5472,,,,,,,,,,,,,,5472
2000,,5493,29,,6,,,,,,,,,,,5528
2001,,6153,221,,5,,,,,,,,,,7,6386
2002,,4920,,,3,,,,,,,,,,13,4936
2003,,5193,,,3,,,,,,,,,,8,5204
2004,,5199,1,,3,,,,,,,,,,9,5212
2005,,4237,2,,1,,,,,,,,,,31,4271
2006,,3528,2,,4,,,1,,,,,,,58,3593
2007,,2962,306,,5,3,,133,,,,,,,21,3430
2008,,3206,3109,,19,9,,209,,,26,,,,13,6591
2009,,3434,3009,,47,16,,198,,,171,,,,29,6904
2010,,3043,2360,,69,22,,336,,45,53,,,,125,6053
2011,,3561,2704,,129,20,37,203,,94,231,,,,128,7107
2012,,2842,1892,,240,23,116,233,,153,238,,,,278,6015
2013,,2691,8,,270,33,556,164,,121,162,,,,30,4035
2014,,2987,395,,301,36,936,245,,180,258,,,,120,5458
2015,,2707,433,,403,56,2456,222,,219,180,,,,58,6734
2016,,3084,973,,1227,296,2384,650,31,181,187,,,,103,9116
2017,,2441,5760,,4015,904,2662,533,182,170,88,3,57,,40,16855
2018,,10095,11339,,6920,3224,2054,408,254,171,161,312,51,21,38,35048
2019,,12138,13550,,32028,5688,2160,464,335,140,136,382,116,46,45,67228
2020,,9758,7983,,10174,4121,2009,767,100,140,112,316,175,25,26,35706
2021,2281,9936,11868,16705,8443,7650,2300,1090,676,239,99,341,36,97,19,61780
2022,27056,,5936,14301,11939,9080,3206,1070,47,239,157,274,45,406,24,73780
2023,39029,1,12423,22605,10022,8651,2744,1040,178,192,44,153,53,271,51,97457
2024,53468,,23404,25576,8266,9671,3376,718,617,305,181,115,385,431,27,126540
2025,59595,,14905,32090,9559,11066,5243,558,861,309,205,141,599,218,43,135392
2026,,,,3797,1600,2518,2111,54,78,44,18,,63,15,4,10302
"This sheet accounts for 809,481 of the 813,168 matters on the Tribunals sheet. The remaining 3,687 carry no usable decision year in the source record and cannot be placed in a year. They are included in every total elsewhere in this workbook."
