Legislation by jurisdiction
"Central, State and Union Territory legislation including subordinate rules and regulations. Every section is held and searched separately."
Jurisdiction,Enactments,Sections,In force,Repealed,Spent,Earliest,Latest
Central,13720,628863,613970,14609,284,1834,2026
Assam,987,12429,12429,0,0,1806,2020
West Bengal,715,32238,32238,0,0,1947,2024
Rajasthan,383,26759,26759,0,0,1860,2025
Maharashtra,379,30271,30271,0,0,1866,2025
Chhattisgarh,359,25368,25368,0,0,1860,2023
Uttar Pradesh,338,14308,14308,0,0,1885,2025
Kerala,322,19164,19164,0,0,1951,2025
Tamil Nadu,308,15524,15524,0,0,1864,2023
Punjab,303,18037,18037,0,0,1887,2025
Bihar,298,10910,10910,0,0,1894,2024
Odisha,282,11370,11370,0,0,1908,2025
Karnataka,279,29485,29485,0,0,1899,2025
Telangana,259,16785,16785,0,0,1837,2024
Chandigarh,256,21805,21805,0,0,1860,2018
Uttarakhand,244,10531,10531,0,0,1901,2022
Gujarat,226,12868,12868,0,0,1867,2025
Madhya Pradesh,216,17477,17477,0,0,1860,2023
Haryana,211,11787,11787,0,0,1897,2025
Nagaland,202,4861,4861,0,0,1954,2024
Himachal Pradesh,194,10765,10765,0,0,1952,2023
Andhra Pradesh,190,12264,12264,0,0,1954,2023
Manipur,187,4560,4560,0,0,1924,2023
Dadra and Nagar Haveli,169,15619,15619,0,0,1860,2018
Goa,154,14539,14539,0,0,1867,2024
Jharkhand,137,10831,10831,0,0,1887,2021
Jammu and Kashmir,137,9223,9223,0,0,1945,2020
Tripura,121,8070,8070,0,0,1926,2023
Arunachal Pradesh,115,6996,6996,0,0,1891,2025
Sikkim,111,4266,4266,0,0,1975,2022
Meghalaya,105,5550,5550,0,0,1970,2024
Delhi,96,8006,8006,0,0,1870,2019
Mizoram,83,2015,2015,0,0,1988,2023
Puducherry,78,7117,7117,0,0,1897,2019
Ladakh,55,3119,3119,0,0,1945,2018
Andaman and Nicobar Islands,45,4626,4626,0,0,1894,2016
Lakshadweep,1,171,171,0,0,1995,1995
Total,22265,1098577
