Regulatory material by issuing body
"Regulations, circulars, master directions and notifications issued by regulators and ministries. All of this is fully searchable to individual provision level, the same as primary legislation."
Issuing body,Abbreviation,Subject area,Instruments,Provisions,Searchable
Ministry of Corporate Affairs,MCA,Company law and corporate governance,2666,46480,Full text
Reserve Bank of India,RBI,"Banking, payments and foreign exchange",2640,104143,Full text
"Ministry of Environment, Forest and Climate Change",MOEFCC,Environment and forests,1399,116227,Full text
Directorate General of Foreign Trade,DGFT,Import and export policy,1233,4252,Full text
Securities and Exchange Board of India,SEBI,Securities and capital markets,1144,88310,Full text
Telecom Regulatory Authority of India,TRAI,Telecom and broadcasting,834,22720,Full text
Central Pollution Control Board,CPCB,Pollution control,558,13752,Full text
Ministry of Law and Justice,LAW,Law Commission reports and legal affairs,558,77209,Full text
State GST and tax authorities,TRIB,State GST notifications,354,41708,Full text
Insurance Regulatory and Development Authority of India,IRDAI,Insurance,314,16238,Full text
Department of Financial Services,DFS,Banking and insurance policy,283,18509,Full text
Central Board of Indirect Taxes and Customs,CBIC,"GST, customs and excise",169,4806,Full text
Total,,,12152,554354
Note
Share of the collection,"Regulatory material is 12,152 of 22,265 instruments and 554,354 of 1,098,577 provisions, which is 50% of all legislation held."
Titles,"Some issuers publish material without a usable title, so entries appear under a gazette reference or file name rather than a descriptive heading. The full text is unaffected and searches on content still find them."
