Court,Court codes,Embedded judgments,Extracted texts in R2,Difference,Note
Patna High Court,BRHC,1615041,1627284,12243,
Bombay High Court,HCBM,1595948,1382734,-213214,fewer texts than embedded judgments
Allahabad High Court,UPHC,1498250,1567283,69033,
Madras High Court,HCMA+HCMD,1494952,1518793,23841,
Rajasthan High Court,RJHC,324567,1057775,733208,
Kerala High Court,KLHC,916190,1029079,112889,
Telangana High Court,HBHC,1004138,1009749,5611,
Punjab and Haryana High Court,PHHC,483253,797830,314577,
Karnataka High Court,KAHC,581276,693491,112215,
Madhya Pradesh High Court,MPHC,402632,650006,247374,
Chhattisgarh High Court,CGHC,508791,519416,10625,
Jharkhand High Court,JHHC,246374,430252,183878,
Gujarat High Court,GJHC,411638,414751,3113,
Calcutta High Court,WBCH,202565,358926,156361,
Delhi High Court,DLHC,322940,334250,11310,
Gauhati High Court,GAHC,285714,300922,15208,
Orissa High Court,,283063,0,-283063,no extracted text at all
Andhra Pradesh High Court,APHC,254482,264599,10117,
Himachal Pradesh High Court,HPHC,184175,255579,71404,
Uttarakhand High Court,UKHC,123853,222556,98703,
Jammu and Kashmir High Court,JKHC,40289,103044,62755,
Tripura High Court,TRHC,18942,31749,12807,
Manipur High Court,MNHC,7903,16837,8934,
Meghalaya High Court,MLHC,6261,11336,5075,
Sikkim High Court,SKHC,453,2317,1864,
Total,,12813690,14600558,1786868,
