area,metric,value
case_law,distinct_judgments,12848644
case_law,judgments_before_cross_collection_dedup,13285266
case_law,embedded_chunks,31217941
case_law,courts,26
case_law,high_courts,25
case_law,chunks_with_no_court_label,201527
case_law,cases_duplicated_across_collections,436622
case_law,supabase_metadata_rows,12847488
case_law,supabase_rows_with_no_court,310016
case_law,practical_cutoff_year,2025
case_law,chunks_unreachable_by_date_filter,371232
supreme_court,judgments_in_qdrant,34954
supreme_court,rows_in_supabase,37879
supreme_court,judgments_with_metadata_but_no_vectors,2925
supreme_court,chunks,371159
legislation,distinct_instruments,22265
legislation,provisions,1098577
legislation,state_buckets,37
legislation,in_force_instruments,21545
legislation,repealed_instruments,710
legislation,spent_instruments,10
legislation,provisions_with_no_year,164534
totals,embedded_chunks_all_collections,32316518
totals,distinct_documents,12870909
