court,court_type,cases,chunks,chunks_per_case,first_decision,last_decision,years_covered,first_year_with_1000_cases,years_with_1000_cases,collections,cases_duplicated_across_collections,supabase_rows,qdrant_minus_supabase,supabase_rows_with_pdf
Patna High Court,High Court,1615041,2682744,1.66,1924-12-15,2030-05-06,28,2008,18,v1+v2,88309,1615037,4,1615037
Bombay High Court,High Court,1595948,2958802,1.85,1908-07-28,2025-11-14,40,2003,23,v1+v2,87098,1595927,21,1595905
Allahabad High Court,High Court,1498250,1929559,1.29,1973-07-10,2025-12-17,15,2018,8,v1+v2,2275,1498245,5,1498245
Madras High Court,High Court,1494952,2746519,1.84,1976-03-26,2025-11-03,27,2002,22,v1+v2,81336,1494950,2,1494950
Telangana High Court,High Court,1004138,2843851,2.83,1963-06-28,2025-10-17,35,2004,22,v1+v2,54445,1003990,148,1003990
Kerala High Court,High Court,916190,3125035,3.41,1950-02-07,2024-12-20,40,2006,19,v1+v2,0,916195,-5,916195
Karnataka High Court,High Court,581276,1552339,2.67,1998-01-15,2025-09-26,25,2012,14,v1+v2,0,580888,388,580888
Chhattisgarh High Court,High Court,508791,1809603,3.56,1970-01-18,2025-10-13,31,2003,23,v1+v2,27411,508771,20,508771
Punjab and Haryana High Court,High Court,483253,1265189,2.62,1989-12-20,2025-10-10,17,2008,16,v1+v2,1,482424,829,482424
Gujarat High Court,High Court,411638,1480863,3.6,1982-06-25,2025-10-06,36,1996,25,v1+v2,21968,410187,1451,410187
Madhya Pradesh High Court,High Court,402632,766922,1.9,1994-05-16,2024-12-14,17,2011,14,v1+v2,0,402595,37,402595
Rajasthan High Court,High Court,324567,1357931,4.18,1989-03-31,2025-10-17,30,2005,21,v1+v2,0,324241,326,324241
Delhi High Court,High Court,322940,1093462,3.39,1960-10-10,2026-01-28,28,2007,18,v1+v2,17214,322936,4,322936
Gauhati High Court,High Court,285714,691391,2.42,1982-03-11,2029-04-05,26,2007,19,v1+v2,15542,285277,437,285277
Orissa High Court,High Court,283063,501386,1.77,1992-08-10,2025-10-24,29,2013,12,v2,0,283055,8,283055
Andhra Pradesh High Court,High Court,254482,1032270,4.06,1995-09-18,2025-10-23,11,2019,7,v1+v2,35029,254480,2,254480
Jharkhand High Court,High Court,246374,1234672,5.01,1993-01-01,2025-09-26,20,2012,14,v2,0,246379,-5,246379
Calcutta High Court,High Court,202565,323606,1.6,1950-08-14,2025-11-27,18,2020,6,v1+v2,242,202564,1,202533
Himachal Pradesh High Court,High Court,184175,752558,4.09,1970-11-25,2025-10-09,28,2007,19,v1+v2,5503,183933,242,183933
Uttarakhand High Court,High Court,123853,262048,2.12,1950-01-01,2025-10-17,30,2003,23,v1+v2,243,123851,2,123851
Jammu & Kashmir High Court,High Court,40289,240967,5.98,2003-02-21,2025-10-18,21,2017,9,v2,0,40282,7,40282
Supreme Court of India,Supreme Court,34954,371159,10.62,1950 (year only),2025 (year only),76,1996,3,v2,0,37879,-2925,37879
Tripura High Court,High Court,18942,138535,7.31,2013-01-04,2025-09-26,13,2014,11,v1+v2,3,18815,127,18815
Manipur High Court,High Court,7903,31643,4.0,2017-05-19,2025-10-05,9,2019,3,v2,0,7903,0,7903
Meghalaya High Court,High Court,6261,22209,3.55,2010-07-06,2025-09-15,16,,0,v2,0,6200,61,6200
Sikkim High Court,High Court,453,2678,5.91,2000-03-30,2025-09-23,25,,0,v1+v2,3,453,0,453
