year,Patna High Court,Bombay High Court,Allahabad High Court,Madras High Court,Telangana High Court,Kerala High Court,Karnataka High Court,Chhattisgarh High Court,Punjab and Haryana High Court,Gujarat High Court,Madhya Pradesh High Court,Rajasthan High Court,Delhi High Court,Gauhati High Court,Orissa High Court,Andhra Pradesh High Court,Jharkhand High Court,Calcutta High Court,Himachal Pradesh High Court,Uttarakhand High Court,Jammu & Kashmir High Court,Supreme Court of India,Tripura High Court,Manipur High Court,Meghalaya High Court,Sikkim High Court,total
1950,,,,,,1,,,,,,,,,,,,,,14,,741,,,,,756
1951,,,,,,3,,,,,,,,,,,,,,,,793,,,,,796
1952,,,,,,4,,,,,,,,,,,,,,,,887,,,,,891
1953,,2,,,,4,,,,,,,,,,,,,,,,1287,,,,,1293
1954,,,,,,15,,,,,,,,,,,,,,,,1464,,,,,1479
1955,,5,,,,24,,,,,,,,,,,,,,,,2415,,,,,2444
1956,,,,,,10,,,,,,,,,,,,,,,,681,,,,,691
1957,,,,,,,,,,,,,,,,,,,,,,892,,,,,892
1958,,1,,,,15,,,,,,,,,,,,,,,,1082,,,,,1098
1959,,,,,,,,,,,,,,,,,,,,,,2352,,,,,2352
1960,,,,,,,,,,,,,5,,,,,1,,,,2243,,,,,2249
1961,,,,,,,,,,,,,,,,,,,,,,2198,,,,,2198
1962,,5,,,,,,,,,,,,,,,,,,,,3971,,,,,3976
1963,,,,,1,,,,,,,,,,,,,,,,,3098,,,,,3099
1964,,,,,,,,,,,,,,,,,,1,,,,5152,,,,,5153
1965,,,,,,,,,,,,,,,,,,,,,,2269,,,,,2269
1966,,,,,,,,,,,,,,,,,,1,,,,2794,,,,,2795
1967,4,,,,,,,,,,,,,,,,,,,,,2506,,,,,2510
1968,,,,,,,,,,,,,,,,,,1,,,,2229,,,,,2230
1969,,4,,,,,,,,,,,,,,,,,,,,2591,,,,,2595
1970,,,,,,2,,1,,,,,,,,,,,1,,,2253,,,,,2257
1971,,6,,,,,,,,,,,,,,,,,,,,3141,,,,,3147
1972,1,,,,,,,,,,,,,,,,,,,,,2505,,,,,2506
1973,,,,,,,,,,,,,,,,,,,,,,3484,,,,,3484
1974,,2,,,,,,,,,,,,,,,,,,,,2540,,,,,2542
