state_key,state,level,year,provisions
central,Central (Union of India),Central,1834,1
central,Central (Union of India),Central,1835,10
central,Central (Union of India),Central,1836,79
central,Central (Union of India),Central,1837,52
central,Central (Union of India),Central,1838,135
central,Central (Union of India),Central,1839,44
central,Central (Union of India),Central,1840,103
central,Central (Union of India),Central,1841,67
central,Central (Union of India),Central,1842,51
central,Central (Union of India),Central,1843,95
central,Central (Union of India),Central,1844,110
central,Central (Union of India),Central,1845,94
central,Central (Union of India),Central,1846,11
central,Central (Union of India),Central,1847,42
central,Central (Union of India),Central,1848,49
central,Central (Union of India),Central,1849,69
central,Central (Union of India),Central,1850,126
central,Central (Union of India),Central,1851,74
central,Central (Union of India),Central,1852,153
central,Central (Union of India),Central,1853,37
central,Central (Union of India),Central,1854,90
central,Central (Union of India),Central,1855,214
central,Central (Union of India),Central,1856,32
central,Central (Union of India),Central,1857,137
central,Central (Union of India),Central,1858,48
central,Central (Union of India),Central,1859,116
central,Central (Union of India),Central,1860,1038
central,Central (Union of India),Central,1861,236
central,Central (Union of India),Central,1862,126
central,Central (Union of India),Central,1863,181
central,Central (Union of India),Central,1864,235
central,Central (Union of India),Central,1865,304
central,Central (Union of India),Central,1866,320
central,Central (Union of India),Central,1867,103
central,Central (Union of India),Central,1868,310
central,Central (Union of India),Central,1869,465
central,Central (Union of India),Central,1870,366
central,Central (Union of India),Central,1871,691
central,Central (Union of India),Central,1872,758
central,Central (Union of India),Central,1873,234
central,Central (Union of India),Central,1874,199
central,Central (Union of India),Central,1875,301
central,Central (Union of India),Central,1876,351
central,Central (Union of India),Central,1877,247
central,Central (Union of India),Central,1878,277
central,Central (Union of India),Central,1879,130
central,Central (Union of India),Central,1880,141
central,Central (Union of India),Central,1881,532
central,Central (Union of India),Central,1882,1047
central,Central (Union of India),Central,1883,238
central,Central (Union of India),Central,1884,444
central,Central (Union of India),Central,1885,78
central,Central (Union of India),Central,1886,375
central,Central (Union of India),Central,1887,550
central,Central (Union of India),Central,1888,51
central,Central (Union of India),Central,1889,90
central,Central (Union of India),Central,1890,239
central,Central (Union of India),Central,1891,94
central,Central (Union of India),Central,1892,37
central,Central (Union of India),Central,1893,52
central,Central (Union of India),Central,1894,205
central,Central (Union of India),Central,1895,28
central,Central (Union of India),Central,1896,84
central,Central (Union of India),Central,1897,165
central,Central (Union of India),Central,1898,241
central,Central (Union of India),Central,1899,414
central,Central (Union of India),Central,1900,59
central,Central (Union of India),Central,1901,100
central,Central (Union of India),Central,1902,23
central,Central (Union of India),Central,1903,192
central,Central (Union of India),Central,1904,43
central,Central (Union of India),Central,1906,56
central,Central (Union of India),Central,1907,540
central,Central (Union of India),Central,1908,2062
central,Central (Union of India),Central,1909,260
central,Central (Union of India),Central,1910,212
central,Central (Union of India),Central,1911,170
central,Central (Union of India),Central,1912,235
central,Central (Union of India),Central,1913,101
central,Central (Union of India),Central,1914,119
central,Central (Union of India),Central,1915,110
central,Central (Union of India),Central,1916,35
central,Central (Union of India),Central,1917,243
central,Central (Union of India),Central,1918,35
central,Central (Union of India),Central,1919,23
central,Central (Union of India),Central,1920,377
central,Central (Union of India),Central,1921,46
central,Central (Union of India),Central,1922,77
central,Central (Union of India),Central,1923,177
central,Central (Union of India),Central,1924,31
central,Central (Union of India),Central,1925,550
central,Central (Union of India),Central,1926,44
central,Central (Union of India),Central,1927,138
central,Central (Union of India),Central,1928,7
central,Central (Union of India),Central,1929,31
central,Central (Union of India),Central,1930,178
central,Central (Union of India),Central,1931,3
central,Central (Union of India),Central,1932,132
central,Central (Union of India),Central,1933,34
central,Central (Union of India),Central,1934,748
central,Central (Union of India),Central,1935,6
central,Central (Union of India),Central,1936,871
central,Central (Union of India),Central,1937,64
central,Central (Union of India),Central,1938,1172
