year,instruments,provisions,central,state,regulatory,repealed,spent
1806,1,14,0,1,0,0,0
1812,1,5,0,1,0,0,0
1819,1,49,0,1,0,0,0
1823,1,5,0,1,0,0,0
1825,2,12,0,2,0,0,0
1827,2,2,0,2,0,0,0
1834,1,1,0,0,0,1,0
1835,8,10,0,0,0,8,0
1836,14,79,1,0,0,13,0
1837,14,55,0,1,0,13,0
1838,10,135,2,0,0,8,0
1839,12,48,1,1,0,9,1
1840,12,103,0,0,0,12,0
1841,11,67,0,0,0,11,0
1842,13,51,2,0,0,11,0
1843,9,95,0,0,0,9,0
1844,13,110,0,0,0,13,0
1845,14,94,0,0,0,14,0
1846,4,11,1,0,0,3,0
1847,6,42,0,0,0,6,0
1848,14,49,1,0,0,13,0
1849,5,69,1,0,0,4,0
1850,15,126,2,0,0,13,0
1851,6,74,3,0,0,3,0
1852,9,153,1,0,0,8,0
1853,10,37,2,0,0,8,0
1854,14,90,2,0,0,12,0
1855,19,214,3,0,0,16,0
1856,4,32,1,0,0,3,0
1857,12,137,1,0,0,11,0
1858,14,48,0,0,0,14,0
1859,12,116,3,0,0,9,0
1860,27,2688,1,7,0,19,0
1861,12,236,2,0,0,10,0
1862,9,126,0,0,0,9,0
1863,12,181,3,0,0,9,0
1864,18,374,1,2,0,15,0
1865,10,307,0,1,0,9,0
1866,9,338,0,2,0,7,0
1867,17,1781,2,6,0,9,0
1868,12,359,0,1,0,11,0
1869,19,482,3,2,0,14,0
1870,16,762,2,3,0,11,0
1871,17,691,3,0,0,14,0
1872,17,1682,3,7,0,7,0
1873,9,234,3,0,0,6,0
1874,9,217,2,1,0,6,0
1875,14,331,1,2,0,11,0
1876,12,384,3,1,0,8,0
1877,6,247,1,0,0,5,0
1878,7,310,2,1,0,4,0
1879,11,149,2,3,0,6,0
1880,10,141,2,0,0,8,0
1881,11,532,2,0,0,9,0
1882,14,1250,6,3,0,5,0
1883,6,256,2,1,0,3,0
1884,11,464,2,1,0,8,0
1885,10,306,0,4,0,6,0
1886,8,375,1,0,0,7,0
1887,16,1140,6,6,0,4,0
1888,8,51,3,0,0,5,0
1889,4,106,0,1,0,3,0
1890,9,328,4,2,0,3,0
1891,8,272,2,3,0,3,0
1892,3,37,2,0,0,1,0
1893,5,57,2,2,0,1,0
1894,11,741,1,6,0,4,0
1895,5,46,0,1,0,4,0
1896,3,107,0,2,0,1,0
1897,12,196,2,4,0,6,0
1898,6,252,2,1,0,3,0
1899,15,640,3,6,0,6,0
1900,7,226,1,4,0,2,0
1901,7,183,1,2,2,2,0
1902,3,101,0,1,1,1,0
1903,6,192,2,0,0,4,0
1904,4,135,1,2,0,1,0
1905,2,70,0,2,0,0,0
1906,4,198,0,2,1,1,0
1907,3,540,0,0,3,0,0
1908,23,5320,5,14,2,2,0
1909,7,300,2,1,2,2,0
1910,10,579,1,3,0,6,0
1911,7,840,0,2,0,5,0
1912,9,381,1,4,2,2,0
1913,6,201,2,3,0,1,0
1914,12,1434,2,8,0,2,0
1915,8,590,2,4,0,2,0
1916,9,1331,1,5,1,2,0
1917,14,722,3,6,2,3,0
1918,9,92,1,5,0,3,0
1919,8,137,2,4,0,2,0
1920,25,756,4,9,0,12,0
1921,8,261,1,3,0,4,0
1922,9,398,1,6,0,2,0
1923,25,1811,2,20,0,3,0
1924,6,223,0,5,0,1,0
1925,9,1060,5,3,0,1,0
1926,13,450,1,12,0,0,0
1927,8,444,1,4,0,3,0
1928,4,18,0,3,0,1,0
1929,5,68,0,3,0,2,0
1930,6,193,2,1,0,3,0
1931,9,684,0,7,0,2,0
1932,12,378,1,6,3,2,0
1933,5,77,1,4,0,0,0
1934,22,1168,2,13,2,5,0
1935,14,1068,0,13,0,1,0
1936,39,1975,1,33,3,2,0
1937,25,126,3,7,14,1,0
1938,31,1520,3,14,12,2,0
1939,30,2642,2,22,1,5,0
1940,15,2578,1,11,0,3,0
1941,8,46,0,5,0,3,0
1942,13,396,1,10,1,1,0
1943,15,146,1,14,0,0,0
1944,11,415,2,8,1,0,0
1945,9,208,1,8,0,0,0
1946,25,998,2,22,0,1,0
1947,85,3499,6,77,2,0,0
1948,147,10642,15,128,0,4,0
1949,72,4134,9,61,1,1,0
1950,103,3476,14,87,0,2,0
1951,83,3663,13,67,1,2,0
1952,88,2481,11,76,0,1,0
1953,79,2277,6,70,0,3,0
1954,89,2946,8,78,1,2,0
1955,110,5991,9,100,0,1,0
1956,144,9768,22,116,5,1,0
1957,86,4508,12,73,1,0,0
1958,103,4706,10,92,0,1,0
1959,96,7115,6,85,1,4,0
1960,111,6002,11,96,1,3,0
1961,171,12948,11,155,3,2,0
1962,93,3637,14,74,3,1,1
1963,109,4662,9,99,0,1,0
1964,115,6937,5,109,0,1,0
1965,123,4537,5,114,0,4,0
1966,76,4610,9,65,0,2,0
1967,58,1761,3,49,5,1,0
1968,109,8065,12,95,0,1,1
1969,90,3213,8,81,0,1,0
1970,108,3657,5,100,2,1,0
1971,102,4374,10,87,1,1,3
1972,139,8102,13,121,1,3,1
1973,140,22795,5,134,1,0,0
1974,119,5522,8,105,5,1,0
1975,97,5354,5,92,0,0,0
1976,228,9336,10,202,15,1,0
1977,80,2821,3,74,2,1,0
1978,112,3163,7,104,1,0,0
1979,99,5026,3,84,11,1,0
1980,109,4378,13,92,3,1,0
1981,100,4080,8,80,11,0,1
1982,82,3695,6,71,3,2,0
1983,73,3054,7,64,0,2,0
1984,74,3139,6,67,0,1,0
1985,94,3756,12,75,3,4,0
1986,138,6718,11,103,20,4,0
1987,89,4342,11,71,5,2,0
1988,70,3124,10,57,1,2,0
1989,60,3250,5,53,1,1,0
1990,54,2489,3,51,0,0,0
1991,64,2725,4,58,1,1,0
1992,66,2229,10,50,5,1,0
1993,83,6757,15,60,8,0,0
1994,121,11186,8,107,3,3,0
1995,105,5971,4,89,12,0,0
1996,87,4609,5,76,6,0,0
1997,88,5005,5,80,3,0,0
1998,116,5793,3,72,40,1,0
1999,180,6019,7,87,83,3,0
2000,227,9188,10,87,129,1,0
2001,182,5445,4,81,97,0,0
2002,222,7523,13,103,106,0,0
2003,223,8198,7,84,131,1,0
2004,251,6218,2,75,174,0,0
2005,372,13387,17,159,194,2,0
2006,366,12617,17,126,222,0,1
2007,379,12787,12,125,242,0,0
2008,419,14355,9,143,267,0,0
2009,368,12179,4,120,244,0,0
2010,390,15804,7,147,236,0,0
2011,482,15095,5,178,299,0,0
2012,492,20492,3,166,323,0,0
2013,506,19921,8,137,360,1,0
2014,534,23245,6,134,394,0,0
2015,792,42466,6,129,657,0,0
2016,792,43786,11,163,618,0,0
2017,708,47798,16,192,500,0,0
2018,691,42209,3,165,523,0,0
2019,583,24741,15,107,460,1,0
2020,517,24624,12,114,391,0,0
2021,537,25447,12,122,402,0,1
2022,462,21484,3,98,361,0,0
2023,612,39124,15,96,501,0,0
2024,460,28606,2,48,410,0,0
2025,673,54469,10,25,638,0,0
2026,77,3800,0,0,77,0,0
