dimension,value,instruments,provisions
legal_subject,general,13400,597478
legal_subject,administrative_law,2387,174629
legal_subject,tax_law,1991,162441
legal_subject,banking_finance,1920,98306
legal_subject,corporate_law,1669,92262
legal_subject,property_law,1451,56533
legal_subject,environmental_law,665,35063
legal_subject,labour_law,389,16550
legal_subject,criminal_law,323,23856
legal_subject,constitutional_law,229,4000
legal_subject,family_law,223,10220
legal_subject,civil_procedure,191,9313
legal_subject,information_technology,79,2832
legal_subject,intellectual_property,40,1293
act_status,in_force,21545,1083684
act_status,repealed,710,14609
act_status,spent,10,284
category,regulatory,12152,554354
category,state,8545,469714
category,central,848,59616
category,repealed,710,14609
category,spent,10,284
provision_type,mandatory,,403847
provision_type,prohibitory,,269973
provision_type,general,,234424
provision_type,overriding,,116626
provision_type,discretionary,,73630
provision_type,declaratory,,77
