dimension,value,chunks
section_type,body,16386764
section_type,paragraph,9093233
section_type,header,2277441
section_type,conclusion,1168510
section_type,section,939667
section_type,arguments,885193
section_type,judgment,180583
section_type,issues,131125
section_type,relief,121545
section_type,facts,107341
section_type,ratio_decidendi,53014
section_type,analysis,41600
section_type,procedure,31341
section_type,statutes,859
section_type,precedents,799
section_type,obiter_dicta,456
court_type,high_court,31048312
court_type,supreme_court,371159
disposition,ALLOWED,10686412
disposition,DISMISSED,8149055
disposition,DISPOSED,6208892
disposition,REJECTED,988961
disposition,DISPOSED OF,962944
disposition,BAIL GRANTED,635154
disposition,CLOSED,239357
disposition,DISPOSED OF NO COSTS,237639
disposition,QUASHED,192628
disposition,Allowed/Partly Allowed on merits,175232
disposition,Dismissed,146376
disposition,ORDERED,136378
disposition,Disposed Off,125416
disposition,WITHDRAWN,124688
disposition,DISPOSED OFF,124223
disposition,Appeal(s) allowed,122641
disposition,CLOSED NO COSTS,118881
disposition,Bail,118827
disposition,GRANTED,107534
disposition,ALLOWED NO COSTS,106540
disposition,DISMISSED NO COSTS,103698
disposition,Allowed,79649
disposition,38-RULE ABSOLUTE/ALLOWED @ FH,74400
disposition,Disposed off,63404
disposition,PREMPTORY,54964
disposition,WITHDRAWN DISMISSED,52075
disposition,REMANDED,51326
disposition,39-RULE DISCHARGED/DISMISSED @ FH,46290
disposition,PARTLY ALLOWED,45418
disposition,Partly Allowed,42684
disposition,DISMISSED AS INFRUCTUOUS,40461
disposition,ACQUITTED,40193
disposition,Disposed Of,37206
disposition,PARTLY ALLOWED NO COSTS,34953
disposition,CONVICTED,28198
disposition,Disposed off/Decided on merits,27475
disposition,BAIL REJECTED,26549
disposition,35-ANY OTHER MODE @ ADM.STAGE,25841
disposition,46-ANY OTHER MODE @ FH,25573
disposition,ABSOLUTE,23761
disposition,STAYED,21820
disposition,Allowed/Partly Allowed on merits/Granted,19176
disposition,Case Partly allowed,18042
disposition,RELAXED,14877
disposition,MODIFIED,14667
disposition,,13457
disposition,26-DISMISSED  @ ADM.STAGE,13287
disposition,OTHERS DISPOSED OFF,12948
disposition,DISMISSED FOR NON-PROSECUTION,10992
disposition,PARTLY ALLOWED (DISPOSAL),9769
disposition,Disposed off/Dismissed for default,9293
disposition,Admitted/Allowed/Granted/Rule Absolute,9143
disposition,Rule Made Absolute,8979
disposition,Closed,8905
disposition,DISMISSED AS WITHDRAWAL,7998
disposition,Dispossed Off/Dismiss for Default,7559
disposition,Case Allowed,6993
disposition,44-PARTLY ALLOWED @ FH,6552
disposition,ALLOWED AND REMANDED,6546
disposition,ALLOWED IN PART,6129
disposition,DISMISSED AS WITHDRAWN,5967
disposition,SCHEME SANCTIONED - COMPANY,5890
disposition,PARTLY ALLOWED AND PARTLY DISMISSED,5805
disposition,DROPPED,5579
disposition,Dismissed on merits,5491
disposition,DECREED,5425
disposition,Reference answered,5379
disposition,Directions issued,5134
disposition,Dismiss other than merit(DD/Non Prosec./Abated),4889
disposition,DISMISSED FOR DEFAULT,4871
disposition,DISPOSED OF WITH DIRECTION,4379
disposition,CONVERTED,4085
disposition,Dismissed/Rule Discharged,3964
disposition,RULE ABSOLUTE,3926
disposition,Disposed of,3876
disposition,Admitted/Allwd/Granted/Rule Absolute,3753
disposition,42-RULE DISCHARGED @ FH,3588
disposition,D.F.D. FOR NON APPEARANCE,3431
disposition,Consigned to Record,3426
disposition,DELAY CONDONED,3246
disposition,DISMISSED AS ABATED,3237
disposition,Matter referred to larger bench,2452
disposition,Transferred to HP Administrative Tribunal,2434
disposition,DISMISSED WITH COST,2276
disposition,CLOSED AS INFRUCTUOUS,2273
disposition,DISCHARGED,2255
disposition,DISMISS FOR NON-PROSECUTION,2192
disposition,DISMISSED AS NOT MAINTAINABLE,2041
disposition,Re-Transferred to Trial Court,1980
disposition,Transfer to Other Court.,1977
disposition,Rule made absolute,1908
disposition,JUDGEMENT,1837
disposition,REJECTED /DISPOSED AT ADM.STAGE(EXCEPT APPEAL) BAIL GR./REJ.,1791
disposition,COMPROMISE,1744
disposition,56-DISPOSED AT ADMISSION STAGE,1711
disposition,DISPOSED OF AS INFRUCTUOUS,1701
disposition,Rejected,1622
disposition,Withdrawn,1523
disposition,APPLICATION ALLOWED,1508
disposition,Rule Discharged,1477
disposition,ALLOWED WITH COSTS,1476
disposition,DISMISSED AS NON PROSECUTION,1467
disposition,SETTLED BEFORE THE LOK-ADALATS,1401
disposition,Dismissed for Non-Prosecution,1387
disposition,ABATED,1373
disposition,TIME EXTENDED,1359
disposition,47-DISPOSAL IN ANY OTHER MODE FH,1333
disposition,CONSIGNED,1326
disposition,CONSENT TERM,1322
disposition,DISMISSED AS NOT PRESSED,1318
disposition,DECREE,1306
disposition,58-RULE ISSUED & RULE ABSOLUTE/ALLOWED @FH,1140
disposition,Abated,1132
disposition,RULE DISCHARGED,1115
disposition,DISMISSED FOR NOT PRESSED,1107
disposition,28-REJECTED   @ ADM.STAGE,1101
disposition,C.A. Disposed off,1067
disposition,DECREE IN TERMS OF MEMO OF COMPROM,1047
disposition,EX-PARTE DECREE,987
disposition,ALLOWED ON CONDITION,950
disposition,Transfer to other Court,933
disposition,36-MCA DISPOSED OF,915
disposition,Leave Granted & Allowed,914
disposition,Dismissed on merits/Rejected,878
disposition,Disposed-Off,854
disposition,DELAY CONDONATED/REJECTED.,849
disposition,NON PROSECUTION,847
disposition,DECREED AS PRAYED FOR,828
disposition,Disposed in Lok Adalat,823
disposition,DISMISSED WITH COSTS,819
disposition,Hearing Adjourned,814
disposition,31-NOTICE DISCHARGED @ ADM.STAGE,769
disposition,53-ALLOWED / GRANTED @ ADM.STAGE,768
disposition,Dismissed for non-complying conditional Order,768
disposition,DISPOSED OF IN MEMO OF COMPROMISE,765
disposition,Dropped,760
disposition,ANTICIPATARY BAIL GRANTED/REJECTED.,757
disposition,SETTLED IN ADALAT,748
disposition,LEAVE GRANTED,737
disposition,INFRUCTUOUS,735
disposition,Granted,711
disposition,DISPOSAL WITH OBSERVATION,704
disposition,ALLOWED TO BE WITHDRAWN AT ADMISSION STAGE,688
disposition,DISSMISS FOR DEFAULT/NON-PROSECUTION,671
disposition,"Transferred to Central Administrative Tribunal, Jammu Bench",667
disposition,DISPOSED AT ADMISSION STAGE,647
disposition,ORDERED ACCORDINGLY,618
disposition,DISMISSED AS SETTLED OUT OF COURT,602
disposition,Allowed To be withdrawn,596
disposition,OTHER DISPOSED OFF,595
disposition,Dismised,584
disposition,APPEAL DISMISSED/CONFIRMED,581
disposition,33-CA DISPOSED OF,576
disposition,DISPOSAL BCZ FILE SHIFTED TO TRIBUNAL,574
disposition,27-WITHDRAWN  @ ADM.STAGE,571
disposition,Amount Awarded,567
